Date,Close/Last,Volume,Open,High,Low
10/23/2023,$42.27,5288664,$41.83,$42.48,$41.32
10/20/2023,$42.35,4358211,$42.97,$43.025,$41.81
10/19/2023,$43.09,4183925,$43.75,$44.15,$42.97
10/18/2023,$43.68,5559612,$44.66,$44.66,$43.05
10/17/2023,$44.26,6792518,$43.64,$44.655,$43.36
10/16/2023,$43.50,4329318,$43.50,$43.60,$42.415
10/13/2023,$43.37,4254844,$43.85,$44.20,$43.32
10/12/2023,$43.41,3933125,$43.55,$43.945,$43.16
10/11/2023,$43.55,4939146,$43.31,$43.73,$42.63
10/10/2023,$44.09,4067611,$44.29,$44.55,$43.605
10/09/2023,$44.35,4894264,$43.09,$44.43,$43.09
10/06/2023,$42.79,7244604,$41.305,$43.175,$41.235
10/05/2023,$41.09,6080023,$39.70,$41.40,$39.59
10/04/2023,$39.65,5614927,$39.42,$40.04,$38.98
10/03/2023,$39.62,5685819,$39.05,$39.645,$38.68
10/02/2023,$39.09,5434409,$40.32,$40.32,$38.645
09/29/2023,$40.58,4413426,$40.36,$40.7575,$40.21
09/28/2023,$40.44,4248035,$39.63,$40.63,$39.59
09/27/2023,$39.61,6979472,$39.47,$40.22,$39.30
09/26/2023,$38.96,4629962,$38.55,$39.43,$38.40
09/25/2023,$38.92,3444478,$38.45,$39.18,$38.17
09/22/2023,$38.45,4931352,$39.02,$39.50,$38.315
09/21/2023,$38.74,6346431,$40.16,$40.16,$38.57
09/20/2023,$40.00,5928723,$40.37,$40.975,$39.99
09/19/2023,$40.99,8309253,$41.65,$41.90,$40.73
09/18/2023,$41.19,5821839,$41.44,$41.715,$41.035
09/15/2023,$41.53,7924220,$42.129,$42.54,$41.355
09/14/2023,$42.59,4590164,$43.54,$43.74,$42.33
09/13/2023,$42.95,3865326,$43.74,$43.985,$42.92
09/12/2023,$43.77,4218034,$42.83,$43.77,$42.69
09/11/2023,$42.21,4219936,$42.73,$43.13,$41.73
09/08/2023,$42.48,6495239,$42.09,$42.495,$41.78
09/07/2023,$41.76,4977959,$42.48,$42.545,$41.575
09/06/2023,$42.33,5157802,$42.97,$43.48,$42.00
