Date,Close/Last,Volume,Open,High,Low
10/20/2023,$87.06,10175510,$87.68,$88.70,$86.475
10/19/2023,$87.67,1950850,$88.12,$88.845,$87.42
10/18/2023,$88.28,2639728,$88.84,$89.165,$87.84
10/17/2023,$88.90,2943802,$88.40,$89.49,$88.10
10/16/2023,$88.66,3995520,$85.15,$88.92,$85.15
10/13/2023,$88.02,1958685,$88.18,$88.81,$87.44
10/12/2023,$87.37,1905968,$88.08,$88.48,$86.37
10/11/2023,$88.45,1738072,$88.42,$88.69,$87.22
10/10/2023,$88.12,1830328,$87.32,$88.30,$87.19
10/09/2023,$87.55,1451701,$86.34,$87.56,$86.34
10/06/2023,$86.35,2419746,$83.31,$86.56,$82.66
10/05/2023,$84.76,2524698,$83.93,$85.07,$83.21
10/04/2023,$84.20,1933234,$83.57,$84.29,$81.999
10/03/2023,$83.18,2635633,$81.20,$83.53,$80.46
10/02/2023,$81.62,2440424,$85.02,$85.19,$81.06
09/29/2023,$85.53,2011173,$86.23,$86.75,$85.15
09/28/2023,$85.49,1975694,$87.05,$87.24,$84.86
09/27/2023,$86.63,1786761,$87.50,$88.12,$86.5301
09/26/2023,$87.83,2009263,$90.04,$90.17,$87.6266
09/25/2023,$90.23,1549445,$90.05,$90.58,$89.52
09/22/2023,$90.83,1492847,$90.40,$91.51,$90.05
09/21/2023,$90.86,1814128,$91.36,$92.12,$90.6546
09/20/2023,$91.50,1186579,$91.66,$92.33,$90.94
09/19/2023,$91.17,1132199,$91.66,$92.0499,$91.13
09/18/2023,$91.57,1519088,$91.37,$91.69,$90.71
09/15/2023,$91.49,3727649,$92.15,$93.08,$91.40
09/14/2023,$92.38,2019131,$91.80,$92.42,$91.50
09/13/2023,$91.46,1725195,$90.50,$91.63,$90.26
09/12/2023,$90.20,1815473,$89.88,$90.33,$88.79
09/11/2023,$89.73,1627614,$88.64,$90.08,$88.64
09/08/2023,$89.25,1392799,$88.74,$89.52,$88.24
09/07/2023,$88.51,1626257,$87.55,$89.22,$87.55
09/06/2023,$86.80,1365914,$86.83,$86.94,$86.21
09/05/2023,$86.51,1942564,$88.12,$88.35,$86.33
09/01/2023,$88.35,1572692,$89.45,$89.45,$87.28
08/31/2023,$88.96,1842367,$90.02,$90.2414,$88.93
08/30/2023,$89.83,1019980,$90.02,$90.7161,$89.47
08/29/2023,$90.08,1484255,$89.91,$90.18,$89.07
08/28/2023,$89.71,1669924,$89.82,$90.61,$89.12
08/25/2023,$89.88,1890777,$89.71,$90.485,$89.365
08/24/2023,$89.46,1939697,$89.89,$91.21,$89.45
08/23/2023,$90.04,2679887,$89.73,$90.08,$88.99
08/22/2023,$89.38,1559057,$88.62,$89.535,$88.29
08/21/2023,$88.71,1268773,$89.05,$89.51,$88.00
