Date,Close/Last,Volume,Open,High,Low
12/15/2023,$241.98,4768518,$237.64,$242.86,$237.40
12/14/2023,$242.86,4863594,$239.66,$245.07,$239.04
12/13/2023,$236.69,3926716,$232.93,$236.81,$231.555
12/12/2023,$232.91,2427466,$233.09,$234.54,$232.53
12/11/2023,$232.03,1810413,$229.92,$232.34,$229.54
12/08/2023,$229.77,2544779,$231.64,$232.92,$229.505
12/07/2023,$231.49,2075095,$232.42,$232.90,$230.54
12/06/2023,$232.97,1804898,$233.12,$233.99,$231.84
12/05/2023,$232.17,2632486,$232.79,$233.13,$230.895
12/04/2023,$233.90,3881955,$230.76,$234.71,$230.55
12/01/2023,$231.37,3239020,$227.41,$232.35,$226.24
11/30/2023,$225.27,4430060,$222.25,$225.64,$220.65
11/29/2023,$221.47,1228889,$222.83,$223.88,$220.85
11/28/2023,$221.23,1827572,$219.71,$222.68,$219.48
11/27/2023,$219.85,2369208,$223.74,$224.09,$219.37
11/24/2023,$224.28,1045594,$223.32,$224.99,$223.13
11/22/2023,$223.49,1716193,$222.74,$224.28,$222.12
11/21/2023,$222.00,2422331,$221.10,$223.00,$219.101
11/20/2023,$221.10,2548124,$219.00,$221.68,$216.92
11/17/2023,$219.21,2005354,$220.79,$221.29,$217.83
11/16/2023,$219.36,1438333,$218.36,$219.71,$216.79
11/15/2023,$218.08,2709674,$216.36,$220.40,$215.81
11/14/2023,$215.69,2610451,$212.48,$217.30,$212.47
11/13/2023,$209.40,2185064,$211.11,$211.11,$208.14
11/10/2023,$211.49,2673601,$211.23,$211.92,$208.50
11/09/2023,$210.23,1496386,$212.80,$212.85,$209.51
11/08/2023,$212.00,2483137,$212.09,$212.97,$211.03
11/07/2023,$211.41,2324175,$212.73,$212.87,$210.90
11/06/2023,$213.10,1547283,$212.00,$213.19,$209.35
11/03/2023,$212.13,1634891,$213.00,$213.41,$211.57
11/02/2023,$211.39,1776659,$208.57,$211.91,$207.745
11/01/2023,$207.56,2444310,$207.06,$208.39,$205.46
10/31/2023,$207.61,2057825,$206.39,$207.9065,$204.635
10/30/2023,$205.80,2230121,$203.24,$207.0399,$202.41
10/27/2023,$201.72,2427576,$202.56,$204.03,$199.97
10/26/2023,$202.24,2626352,$204.34,$206.285,$201.92
10/25/2023,$205.22,2457397,$203.85,$207.08,$202.3301
10/24/2023,$205.44,2937514,$208.45,$209.07,$204.26
